Lexem,Genus,Worttrennung,IPA,Silbenzahl
4-Aminobutansäure,f,,,NA
4-Hydroxybutansäure,f,,,NA
40-Stunden-Woche,f,,fɪʁt͡sɪçˈʃtʊndn̩ˌvɔxə,NA
400-Euro-Job,m,,ˌfiːɐ̯hʊndɐtˈʔɔɪ̯ʁoˌdʒɔp,NA
400-Euro-Jobber,m,,ˌfiːɐ̯hʊndɐtˈʔɔɪ̯ʁoˌd͡ʒɔbɐ,NA
450-Euro-Job,m,,ˌfiːɐ̯hʊndɐtˌfʏnft͡sɪçˈʔɔɪ̯ʁoˌdʒɔp,NA
46-Jähriger,m,,,NA
5-Cent-Münze,f,,fʏnfˈsɛntˌmʏnt͡sə,NA
5-Cent-Stück,n,,fʏnfˈsɛntˌʃtʏk,NA
5-Euro-Schein,m,,fʏnfˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
5-Mark-Schein,m,,fʏnfˈmaʁkˌʃaɪ̯n,NA
5-Minuten-Takt,m,,ˌfʏnfmiˈnuːtn̩ˌtakt,NA
5-Uhr-Vorstellung,f,,fʏnfˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,NA
5-Uhr-Zug,m,,fʏnfˈʔuːɐ̯ˌt͡suːk,NA
50-Cent-Münze,f,,fʏnft͡sɪçˈsɛntˌmʏnt͡sə,NA
50-Cent-Stück,n,,fʏnft͡sɪçˈsɛntˌʃtʏk,NA
50-Euro-Schein,m,,fʏnft͡sɪçˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
50-Franken-Note,f,,fʏnft͡sɪçˈfʁaŋkn̩ˌnoːtə,NA
50-Franken-Schein,m,,fʏnft͡sɪçˈfʁaŋkn̩ˌʃaɪ̯n,NA
50-Mark-Schein,m,,fʏnft͡sɪçˈmaʁkˌʃaɪ̯n,NA
500-Euro-Schein,m,,fʏnfhʊndɐtˈʔɔɪ̯ʁoˌʃaɪ̯n,NA
500-Mark-Schein,m,,fʏnfhʊndɐtˈmaʁkˌʃaɪ̯n,NA
59-Jähriger,m,,ˈnɔɪ̯nʊntfʏnft͡sɪçˌjɛːʁɪɡɐ,NA
6-Uhr-Vorstellung,f,,zɛksˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,NA
6-Uhr-Zug,m,,zɛksˈʔuːɐ̯ˌt͡suːk,NA
60-Sekunden-Takt,m,,ˌzɛçt͡sɪçzeˈkʊndn̩ˌtakt,NA
7-Uhr-Vorstellung,f,,ziːbn̩ˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,NA
7-Uhr-Zug,m,,ziːbn̩ˈʔuːɐ̯ˌt͡suːk,NA
8-Stunden-Tag,m,,axtˈʃtʊndn̩ˌtaːk,NA
8-Tonner,m,,ˈaxtˌtɔnɐ,NA
8-Uhr-Vorstellung,f,,axtˈʔuːɐ̯foːɐ̯ˌʃtɛlʊŋ,NA
8-Uhr-Zug,m,,axtˈʔuːɐ̯ˌt͡suːk,NA
90-Minüter,m,,ˈnɔɪ̯nt͡sɪçmiˌnyːtɐ,NA
A-Achse,f,A-Ach·se,ˈaːˌʔaksə,3
A-Bombe,f,A-Bom·be,ˈaːˌbɔmbə,3
A-Dur,n,A-Dur,ˈaːˌduːɐ̯,2
A-Dur-Tonleiter,f,A-Dur-Ton·lei·ter,,5
A-Jugend,f,A-Ju·gend,ˈaːˌjuːɡn̩t,3
A-Jugendliche,f,A-Ju·gend·li·che,ˈaːjuːɡn̩tlɪçə,5
A-Saite,f,A-Sai·te,ˈaːˌzaɪ̯tə,3
A-Säule,f,A-Säu·le,ˈaːˌzɔɪ̯lə,3
A-a,n,A-a,aˈʔa,2
A-cappella-Chor,m,A-cap·pel·la-Chor,akaˈpɛlaˌkoːɐ̯,5
ABC,n,ABC,aːbeːˈt͡seː,1
ABC-Buch,n,ABC-Buch,aːbeːˈt͡seːbuːx,2
ABC-Schütze,f,ABC-Schüt·ze,ˌaːˌbeːˈt͡seːˌʃʏt͡sə,3
ABC-Staaten,,ABC-Staa·ten,ˌaːˌbeːˈtseːˌʃtaːtən,3
ABC-Tafel,f,ABC-Ta·fel,ˌaːˌbeːˈtseːˌtaːfəl,3
ABC-Trinker,m,ABC-Trin·ker,aːbeːˈt͡seːˌtʁɪŋkɐ,3
ABC-Waffen,,ABC-Waf·fen,ˌaːˌbeːˈtseːˌvafən,3
ABM-Kraft,f,ABM-Kraft,aːbeːˈʔɛmˌkʁaft,2
ACE-Hemmer,,ACE-Hem·mer,aːt͡seˈʔeːˌhɛmɐ,3
ADAC,m,ADAC,ˌaːdeːʔaːˈt͡seː,1
ADHS-Kind,n,ADHS-Kind,aːdeːhaːˈʔɛskɪnt,2
ADV-Vertrag,m,ADV-Ver·trag,aːdeːˈfaʊ̯fɛɐ̯ˌtʁaːk,3
AIDS-Toter,m,AIDS-To·ter,ˈɛɪ̯tsˌtoːtɐ,3
ASCII,m,ASCII,ˈaski,1
ASCII-Code,m,ASCII-Code,ˈaskiˌkoːt,2
ASL-Zeichen,n,ASL-Zei·chen,aːʔɛsˈʔɛlˌt͡saɪ̯çn̩,3
AStA,m,AStA,ˈasta,1
Aa,fn,Aa,aː|aˈʔa,1
Aa-Lava,f,Aa-La·va,,3
Aachener,fm,Aa·che·ner,ˈaːxənɐ,3
Aachenerin,f,Aa·che·ne·rin,ˈaːxənəʁɪn,4
Aad,f,Aad,aːt,1
Aak,n,Aak,aːk,1
Aake,f,Aa·ke,ˈaːkə,2
Aakerbeere,f,Aa·ker·bee·re,ˈoːkɐˌbeːʁə,4
Aal,m,Aal,aːl,1
Aalbaum,m,Aal·baum,ˈaːlˌbaʊ̯m,2
Aalbeere,f,Aal·bee·re,ˈaːlˌbeːʁə,3
Aalbeerstrauch,m,Aal·beer·strauch,ˈaːlbeːɐ̯ˌʃtʁaʊ̯x,3
Aalbestand,m,Aal·be·stand,ˈaːlbəˌʃtant,3
Aalbricke,f,Aal·bri·cke,ˈaːlˌbʁɪkə,3
Aalbutt,m,Aal·butt,ˈaːlˌbʊt,2
Aaldorsch,m,Aal·dorsch,ˈaːlˌdɔʁʃ,2
Aaleidechse,f,Aal·ei·dech·se,ˈaːlʔaɪ̯ˌdɛksə,4
Aaleisen,n,Aal·ei·sen,ˈaːlˌʔaɪ̯zn̩,3
Aalener,m,Aa·le·ner,ˈaːlənɐ,3
Aalenium,n,Aa·le·ni·um,aˈleːni̯ʊm,4
Aalfang,m,Aal·fang,ˈaːlˌfaŋ,2
Aalfett,n,Aal·fett,ˈaːlˌfɛt,2
Aalfisch,m,Aal·fisch,ˈaːlˌfɪʃ,2
Aalfischer,m,Aal·fi·scher,ˈaːlˌfɪʃɐ,3
Aalfischerei,f,Aal·fi·sche·rei,ˌaːlˌfɪʃəˈʁaɪ̯,4
Aalfrau,f,Aal·frau,ˈaːlˌfʁaʊ̯,2
Aalgabel,f,Aal·ga·bel,ˈaːlˌɡaːbl̩,3
Aalhamen,m,Aal·ha·men,ˈaːlˌhaːmən,3
Aalhaut,f,Aal·haut,ˈaːlˌhaʊ̯t,2
Aalkasten,m,Aal·kas·ten,ˈaːlˌkastn̩,3
Aalkorb,m,Aal·korb,ˈaːlˌkɔʁp,2
Aalkrähe,f,Aal·krä·he,ˈaːlˌkʁɛːə,3
Aalleiter,f,Aal·lei·ter,ˈaːlˌlaɪ̯tɐ,3
Aalmolch,m,Aal·molch,ˈaːlˌmɔlç,2
Aalmutter,f,Aal·mut·ter,ˈaːlˌmʊtɐ,3
Aalmöwe,f,Aal·mö·we,ˈaːlˌmøːvə,3
Aalnetz,n,Aal·netz,ˈaːlˌnɛt͡s,2
Aalpuppe,f,Aal·pup·pe,ˈaːlˌpʊpə,3
Aalquappe,f,Aal·quap·pe,ˈaːlˌkvapə,3
Aalraupe,f,Aal·rau·pe,ˈaːlˌʁaʊ̯pə,3
Aalreuse,f,Aal·reu·se,ˈaːlˌʁɔɪ̯zə,3
Aalrute,f,Aal·ru·te,ˈaːlˌʁuːtə,3
Aalrutte,f,Aal·rut·te,ˈaːlˌʁʊtə,3
Aalräucherei,f,Aal·räu·che·rei,ˌaːlˌʁɔɪ̯çəˈʁaɪ̯,4
Aalschlange,f,Aal·schlan·ge,ˈaːlˌʃlaŋə,3
Aalschnur,f,Aal·schnur,ˈaːlˌʃnuːɐ̯,2
Aalspeer,m,Aal·speer,ˈaːlˌʃpeːɐ̯,2
Aalstechen,n,Aal·ste·chen,ˈaːlˌʃtɛçn̩,3
Aalstreif,m,Aal·streif,ˈaːlˌʃtʁaɪ̯f,2
Aalstreifen,m,Aal·strei·fen,ˈaːlˌʃtʁaɪ̯fn̩,3
Aalstrich,m,Aal·strich,ˈaːlˌʃtʁɪç,2
Aalsuppe,f,Aal·sup·pe,ˈaːlˌzʊpə,3
Aaltierchen,n,Aal·tier·chen,ˈaːlˌtiːɐ̯çən,3
Aaltreppe,f,Aal·trep·pe,ˈaːlˌtʁɛpə,3
Aalwanderung,f,Aal·wan·de·rung,ˈaːlˌvandəʁʊŋ,4
Aalwehr,n,Aal·wehr,ˈaːlˌveːɐ̯,2
Aalwels,m,Aal·wels,ˈaːlˌvɛls,2
Aap,m,Aap,aːp,1
Aar,m,Aar,aːɐ̯,1
Aarestadt,f,Aa·re·stadt,ˈaːʁəˌʃtat,3
Aargauer,m,Aar·gau·er,ˈaːɐ̯ˌɡaʊ̯ɐ,3
Aargauerin,f,Aar·gau·e·rin,ˈaːɐ̯ˌɡaʊ̯əʁɪn,4
Aarskog-Syndrom,n,Aars·kog-Syn·drom,,4
Aarweihe,fm,Aar·wei·he,ˈaːɐ̯ˌvaɪ̯ə,3
Aas,n,Aas,aːs,1
Aasblatter,f,Aas·blat·ter,ˈaːsˌblatɐ,3
Aasblume,f,Aas·blu·me,ˈaːsˌbluːmə,3
Aase-Syndrom,n,Aa·se-Syn·drom,,4
Aaser,m,Aa·ser,ˈaːzɐ,2
Aasfliege,f,Aas·flie·ge,ˈaːsˌfliːɡə,3
Aasfresser,m,Aas·fres·ser,ˈaːsˌfʁɛsɐ,3
Aasgeier,m,Aas·gei·er,ˈaːsˌɡaɪ̯ɐ,3
Aasgeld,n,Aas·geld,ˈaːsˌɡɛlt,2
Aasgeruch,m,Aas·ge·ruch,ˈaːsɡəˌʁʊx,3
Aasgestank,m,Aas·ge·stank,ˈaːsɡəˌʃtaŋk,3
Aasinsekt,n,Aas·in·sekt,ˈaːsʔɪnˌzɛkt,3
Aasjagd,f,Aas·jagd,ˈaːsˌjaːkt,2
Aasjäger,m,Aas·jä·ger,ˈaːsˌjɛːɡɐ,3
Aasjägerei,f,Aas·jä·ge·rei,ˈaːsjɛːɡəˌʁaɪ̯,4
Aaskrähe,f,Aas·krä·he,ˈaːsˌkʁɛːə,3
Aaskäfer,m,Aas·kä·fer,ˈaːsˌkɛːfɐ,3
Aaspocke,f,Aas·po·cke,ˈaːsˌpɔkə,3
Aasseite,f,Aas·sei·te,ˈaːsˌzaɪ̯tə,3
Aast,n,Aast,ˈaːst,1
Aasvogel,m,Aas·vo·gel,ˈaːsˌfoːɡl̩,3
Aba,fm,Aba,aˈbaː,1
Abaca,m,Aba·ca,,2
Abachi,n,Aba·chi,,2
Abade,m,Aba·de,ɑbɑˈde,2
Abadie-Zeichen,n,Aba·die-Zei·chen,,4
Abadon,m,Aba·don,abaˈdoːn,2
Abaisse,f,Abaisse,aˈbɛːs,1
Abaka,m,Aba·ka,aˈbaːka,2
Abakus,m,Aba·kus,ˈabakʊs,2
Abalienation,f,Ab·ali·e·na·ti·on,ˌapˌʔali̯enaˈt͡si̯oːn,6
Abalone,fn,Aba·lo·ne,abaˈloːnə,3
Abandon,m,Aban·don,abɑ̃ˈdõː,2
Abandonnement,n,Aban·don·ne·ment,abɑ̃dɔnəˈmɑ̃ː,4
Abarbeitung,f,Ab·ar·bei·tung,ˈapˌʔaːʁbaɪ̯tʊŋ,4
Abarbeitungsgeschwindigkeit,f,Ab·ar·bei·tungs·ge·schwin·dig·keit,ˈapʔaːʁbaɪ̯tʊŋsɡəˌʃvɪndɪçkaɪ̯t,8
Abart,f,Ab·art,ˈapˌʔaːɐ̯t,2
Abartigkeit,f,Ab·ar·tig·keit,ˈapˌʔaːɐ̯tɪçkaɪ̯t,4
Abartung,f,Ab·ar·tung,ˈapʔaːɐ̯tʊŋ,3
Abasa,,Aba·sa,abaˈza,2
Abasie,f,Aba·sie,abaˈziː,2
Abasinisch,m,Aba·si·nisch,abaˈziːnɪʃ,3
Abate,fm,Aba·te,aˈbaːtə,2
Abatis,mn,Aba·tis,abaˈtiː,2
Abatjour,m,Abat·jour,abaˈʒuːɐ̯,2
Abaton,n,Aba·ton,ˈaːbatɔn,2
Abbadon,m,Ab·ba·don,,3
Abbaggerung,f,Ab·bag·ge·rung,ˈapbaɡəʁʊŋ,4
Abbaside,m,Ab·ba·si·de,abaˈziːdə,4
Abbate,m,Ab·ba·te,aˈbaːtə,3
Abbau,m,Ab·bau,ˈapˌbaʊ̯,2
Abbauantrag,m,Ab·bau·an·trag,ˈapbaʊ̯ˌʔantʁaːk,4
Abbaubarkeit,f,Ab·bau·bar·keit,ˈapbaʊ̯baːɐ̯ˌkaɪ̯t,4
Abbauerscheinung,f,Ab·bau·er·schei·nung,ˈapbaʊ̯ʔɛɐ̯ˌʃaɪ̯nʊŋ,5
Abbaufeld,n,Ab·bau·feld,ˈapbaʊ̯ˌfɛlt,3
Abbaugerechtigkeit,f,Ab·bau·ge·rech·tig·keit,ˈapˌbaʊ̯ɡəˌʁɛçtɪçkaɪ̯t,6
Abbauintoxikation,f,Ab·bau·in·to·xi·ka·ti·on,ˈapbaʊ̯ʔɪntɔksikaˌt͡si̯oːn,8
Abbauprodukt,n,Ab·bau·pro·dukt,ˈapbaʊ̯pʁoˌdʊkt,4
Abbauprozess,m,Ab·bau·pro·zess,ˈapbaʊ̯pʁoˌt͡sɛs,4
Abbaurecht,n,Ab·bau·recht,ˈapbaʊ̯ˌʁɛçt,3
Abbaustelle,f,Ab·bau·stel·le,ˈapbaʊ̯ˌʃtɛlə,4
Abbauvermögen,n,Ab·bau·ver·mö·gen,ˈapbaʊ̯fɛɐ̯ˌmøːɡən,5
Abbauwürdigkeit,f,Ab·bau·wür·dig·keit,ˈapbaʊ̯ˌvʏʁdɪçkaɪ̯t,5
Abbedingung,f,Ab·be·din·gung,ˈapbəˌdɪŋʊŋ,4
Abbeizmittel,n,Ab·beiz·mit·tel,ˈapbaɪ̯t͡sˌmɪtl̩,4
Abbelkrotze,f,Ab·bel·krot·ze,ˈabl̩ˌɡʁɔd͡zə,4
Abberufung,f,Ab·be·ru·fung,ˈapbəˌʁuːfʊŋ,4
Abberufungsantrag,m,Ab·be·ru·fungs·an·trag,ˈapbəʁuːfʊŋsˌʔantʁaːk,6
Abbestellung,f,Ab·be·stel·lung,ˈapbəˌʃtɛlʊŋ,4
Abbevillien,n,Ab·be·vil·li·en,abəvɪˈli̯ɛ̃,5
Abbezahlung,f,Ab·be·zah·lung,ˈapbəˌtsaːlʊŋ,4
Abbiegelicht,n,Ab·bie·ge·licht,ˈapbiːɡəˌlɪçt,4
Abbiegespur,f,Ab·bie·ge·spur,ˈapbiːɡəˌʃpuːɐ̯,4
Abbiegung,f,Ab·bie·gung,ˈapˌbiːɡʊŋ,3
Abbild,n,Ab·bild,ˈapˌbɪlt,2
Abbildung,f,Ab·bil·dung,ˈapˌbɪldʊŋ,3
Abbildungsfehler,m,Ab·bil·dungs·feh·ler,ˈapbɪldʊŋsfeːlɐ,5
Abbildungsfreiheit,f,Ab·bil·dungs·frei·heit,ˈapbɪldʊŋsˌfʁaɪ̯haɪ̯t,5
Abbildungsmaßstab,m,Ab·bil·dungs·maß·stab,ˈapbɪldʊŋsˌmaːsʃtaːp,5
Abbindung,f,Ab·bin·dung,ˈapˌbɪndʊŋ,3
Abbiss,m,Ab·biss,ˈapˌbɪs,2
Abbitte,f,Ab·bit·te,ˈapˌbɪtə,3
Abblasedruck,m,Ab·bla·se·druck,ˈapblaːzəˌdʁʊk,4
Abblaseventil,n,Ab·bla·se·ven·til,ˈapˌblaːzəvɛnˌtiːl,5
Abblasung,f,Ab·bla·sung,ˈapˌblaːzʊŋ,3
Abblasventil,n,Ab·blas·ven·til,ˈapˌblaːsvɛnˌtiːl,4
Abblendautomatik,f,Ab·blend·au·to·ma·tik,ˈapblɛntʔaʊ̯toˌmaːtɪk,6
Abblendlicht,n,Ab·blend·licht,ˈapblɛntˌlɪçt,3
Abblendschalter,m,Ab·blend·schal·ter,ˈapblɛntˌʃaltɐ,4
Abbozzo,m,Ab·boz·zo,,3
Abbrand,m,Ab·brand,ˈapˌbʁant,2
Abbrandler,m,Ab·brand·ler,ˈapbʁandlɐ,3
Abbrecher,m,Ab·bre·cher,ˈapˌbʁɛçɐ,3
Abbrecherin,f,Ab·bre·che·rin,ˈapˌbʁɛçəʁɪn,4
Abbreviation,f,Ab·bre·vi·a·ti·on,abʁevi̯aˈt͡si̯oːn,6
Abbreviator,m,Ab·bre·vi·a·tor,abʁeˈvi̯aːtoːɐ̯,5
Abbreviatur,f,Ab·bre·vi·a·tur,abʁevi̯aˈtuːɐ̯,5
Abbruch,m,Ab·bruch,ˈapˌbʁʊx,2
Abbrucharbeit,f,Ab·bruch·ar·beit,ˈapbʁʊxˌʔaʁbaɪ̯t,4
Abbruchbedingung,f,Ab·bruch·be·din·gung,ˈapbʁʊxbəˌdɪŋʊŋ,5
Abbruchbescheid,m,Ab·bruch·be·scheid,ˈapbʁʊxbəˌʃaɪ̯t,4
Abbruchbirne,f,Ab·bruch·bir·ne,ˈapbʁʊxˌbɪʁnə,4
Abbruchblutung,f,Ab·bruch·blu·tung,ˈapbʁʊxˌbluːtʊŋ,4
Abbruchfirma,f,Ab·bruch·fir·ma,ˈapbʁʊxˌfɪʁma,4
Abbruchgenehmigung,f,Ab·bruch·ge·neh·mi·gung,ˈapbʁʊxɡəˌneːmɪɡʊŋ,6
Abbruchhammer,m,Ab·bruch·ham·mer,ˈapbʁʊxˌhamɐ,4
Abbruchhaus,n,Ab·bruch·haus,ˈapbʁʊxˌhaʊ̯s,3
Abbruchholz,n,Ab·bruch·holz,ˈapbʁʊxˌhɔlt͡s,3
Abbruchkante,f,Ab·bruch·kan·te,ˈapbʁʊxˌkantə,4
Abbruchmaterial,n,Ab·bruch·ma·te·ri·al,ˈapbʁʊxmatəˌʁi̯aːl,6
Abbruchobjekt,n,Ab·bruch·ob·jekt,ˈapbʁʊxʔɔpˌjɛkt,4
Abbruchsieg,m,Ab·bruch·sieg,ˈapbʁʊxˌziːk,3
Abbruchstein,m,Ab·bruch·stein,ˈapˌbʁʊxˌʃtaɪ̯n,3
Abbruchstelle,f,Ab·bruch·stel·le,ˈapˌbʁʊxˌʃtɛlə,4
Abbuchung,f,Ab·bu·chung,ˈapˌbuːxʊŋ,3
Abbuchungsauftrag,m,Ab·bu·chungs·auf·trag,ˈapbuːxʊŋsˌʔaʊ̯ftʁaːk,5
Abbé,m,Ab·bé,aˈbeː,2
Abc,n,Abc,ˌaːˌbeːˈt͡seː,1
Abc-Buch,n,Abc-Buch,ˌaːˌbeːˈt͡seːˌbuːx,2
Abc-Code,m,Abc-Code,ˌaːˌbeːˈtseːˌkoːt,2
Abc-Kode,m,Abc-Kode,aːbeːˈt͡seːkoːt,2
Abc-Schütze,m,Abc-Schüt·ze,ˌaːˌbeːˈt͡seːˌʃʏt͡sə,3
Abc-Schützin,f,Abc-Schüt·zin,ˌaːˌbeːˈt͡seːˌʃʏt͡sɪn,3
Abcdarier,m,Abc·da·ri·er,abet͡seˈdaːʁiɐ,4
Abcdarium,n,Abc·da·ri·um,abet͡seˈdaːʁiʊm,4
Abcdarius,m,Abc·da·ri·us,abet͡seˈdaːʁiʊs,4
Abchase,m,Ab·cha·se,apˈxaːzə,3
Abchasin,f,Ab·cha·sin,apˈxaːzɪn,3
Abchasisch,m,Ab·cha·sisch,apˈxaːzɪʃ,3
Abciximab,n,Ab·ci·xi·mab,,4
Abdach,n,Ab·dach,ˈapˌdax,2
Abdampf,m,Ab·dampf,ˈapˌdamp͡f,2
Abdampfen,n,Ab·damp·fen,ˈapˌdamp͡fən,3
Abdankung,f,Ab·dan·kung,ˈapˌdaŋkʊŋ,3
Abdeck-Aufdecktest,m,Ab·deck-Auf·deck·test,ˈapdɛkˈʔaʊ̯fdɛkˌtɛst,5
Abdeckband,n,Ab·deck·band,ˈapdɛkˌbant,3
Abdeckblech,n,Ab·deck·blech,ˈapdɛkblɛç,3
Abdeckcreme,f,Ab·deck·creme,ˈapdɛkˌkʁeːm,3
Abdecker,m,Ab·de·cker,ˈapˌdɛkɐ,3
Abdeckerei,f,Ab·de·cke·rei,apdɛkəˈʁaɪ̯,4
